id,ocena,id_slike
1,3,34
1,4,164
1,4,135
1,3,180
1,4,164
1,4,84
1,3,197
1,3,54
1,4,76
1,4,56
1,4,165
1,2,15
1,3,126
2,1,53
2,2,104
2,4,94
2,3,63
2,4,67
2,3,95
2,1,129
2,3,144
3,3,86
3,1,30
3,3,90
3,3,160
3,3,49
4,2,133
4,1,186
4,3,50
4,1,133
4,1,53
4,1,154
4,1,114
4,1,138
4,1,86
4,3,125
5,2,56
5,1,89
5,1,146
5,2,12
5,1,110
5,4,94
5,2,155
5,4,52
5,1,139
5,3,26
6,2,178
6,3,4
6,4,12
7,3,165
7,3,59
7,1,20
7,3,31
7,3,66
7,2,138
7,2,81
7,2,176
7,3,135
7,3,1
8,4,54
8,2,114
8,3,82
8,3,41
8,1,154
8,1,151
8,1,96
8,2,156
8,1,171
8,3,89
8,2,23
9,2,152
9,3,136
9,2,183
9,3,55
9,3,182
9,1,36
9,2,28
9,3,21
9,2,184
9,3,166
9,2,49
10,2,181
10,3,162
10,3,21
10,3,170
10,4,107
11,4,118
11,2,96
11,2,121
11,3,53
11,3,1
11,1,65
11,1,38
11,1,60
11,1,45
11,3,63
11,4,110
11,4,118
12,1,150
12,3,110
12,4,122
12,3,22
12,1,71
12,1,148
13,2,46
13,1,177
13,1,167
13,3,189
13,1,64
13,4,91
13,2,116
13,1,21
13,4,77
13,3,177
13,2,154
13,4,17
13,2,188
13,4,196
14,4,90
14,4,82
14,2,103
14,3,130
14,2,61
14,4,119
14,4,127
14,2,123
15,3,111
15,3,109
15,4,46
15,3,28
16,2,4
16,3,115
16,4,6
16,1,141
16,3,80
16,1,9
16,1,123
16,3,36
16,1,162
16,2,167
16,4,117
17,4,116
18,2,177
18,1,104
18,3,133
18,3,79
18,1,112
18,3,195
18,1,189
18,1,177
19,3,152
20,2,148
20,4,28
20,1,73
20,1,195
20,1,74
21,3,35
21,3,54
21,4,1
21,2,100
21,3,35
21,3,33
22,2,102
23,4,194
23,3,198
23,4,184
23,1,115
23,3,167
23,3,193
23,3,18
23,3,80
23,1,115
23,2,41
23,2,150
23,1,122
24,4,116
24,3,12
24,2,50
24,4,127
24,4,114
24,2,23
24,2,28
24,4,181
25,3,61
25,3,74
25,4,185
26,4,181
26,4,170
26,1,155
26,1,135
26,2,8
26,2,107
26,2,101
26,1,139
26,2,158
26,1,124
27,2,43
27,3,23
27,4,102
27,2,137
27,2,88
28,4,85
28,2,90
28,3,76
28,3,126
28,4,30
28,4,164
28,4,2
28,1,126
29,2,23
29,3,70
29,4,176
29,1,65
29,1,181
29,1,195
29,4,137
29,2,51
29,3,76
30,2,31
30,3,37
31,3,16
31,1,109
31,4,114
31,3,111
31,4,168
31,3,36
31,2,159
31,1,28
31,4,83
31,2,111
32,3,81
32,3,24
32,1,21
32,2,96
32,3,187
32,4,124
32,1,144
32,3,9
32,1,108
32,2,184
32,2,83
32,2,169
32,2,10
32,3,5
33,4,9
33,1,33
33,3,81
33,3,159
33,2,38
33,4,64
33,3,150
33,1,132
33,1,54
33,4,75
33,2,147
33,2,156
34,4,1
34,3,116
34,4,152
34,3,84
34,3,27
34,2,184
34,3,57
34,2,33
34,3,163
35,3,183
35,3,144
36,3,152
36,4,178
36,2,87
36,2,188
37,1,27
38,1,31
38,2,35
38,3,41
38,1,193
38,3,3
38,3,87
38,2,144
38,1,2
38,4,45
38,3,137
38,4,5
39,2,108
39,2,181
39,3,88
39,2,143
39,3,130
39,2,155
39,1,87
39,1,154
39,3,81
39,2,72
39,3,11
39,2,118
39,4,22
40,4,27
40,2,183
40,3,186
40,2,19
40,3,64
41,4,17
41,4,61
41,1,102
41,3,165
41,3,141
41,2,45
41,4,76
41,1,166
41,4,159
41,4,19
41,3,1
41,3,192
41,4,6
42,1,149
42,1,172
42,4,193
42,4,59
42,3,5
43,3,180
43,4,116
43,2,196
43,1,131
43,4,190
44,2,167
44,4,80
44,2,87
44,1,92
44,1,8
44,1,23
44,1,107
44,2,77
44,4,71
44,3,58
44,2,8
44,1,148
44,2,188
45,3,183
45,4,7
45,3,58
45,4,87
46,3,101
46,1,92
46,2,140
46,2,159
46,1,8
46,1,65
46,3,41
46,3,82
47,3,98
47,2,86
47,3,69
47,2,62
47,2,171
47,2,41
47,2,20
47,2,146
47,2,12
47,4,78
47,1,133
48,4,69
48,2,3
48,3,99
49,1,108
49,2,104
49,3,74
50,2,137
50,4,35
50,3,110
50,3,62
50,3,43
51,2,196
51,2,134
51,3,21
51,3,51
51,1,134
51,4,48
51,3,22
51,3,131
51,4,50
51,1,60
51,1,151
51,4,19
52,1,197
52,2,142
52,3,106
52,2,104
52,3,182
52,1,118
53,4,184
53,2,44
53,1,59
53,4,149
53,1,102
53,1,92
53,1,100
53,4,39
53,1,153
53,4,77
53,4,54
53,2,63
53,2,26
54,1,150
54,2,26
54,2,146
54,2,9
55,1,65
56,2,66
56,3,1
56,3,20
56,2,119
56,3,133
57,2,136
57,3,118
57,2,164
57,1,196
57,1,43
58,3,98
58,2,150
58,4,3
58,1,108
58,4,53
58,2,36
58,1,174
58,2,81
58,4,117
58,1,74
58,4,159
59,1,7
59,3,97
59,1,118
59,3,86
59,3,74
59,1,100
59,3,124
59,1,88
60,2,159
60,2,69
60,1,125
61,3,119
61,4,8
61,3,43
61,4,53
61,2,31
61,2,58
61,1,150
62,2,183
62,1,105
62,4,44
62,3,21
62,2,189
62,1,103
